Korean,English
이번 시험 혹시 범위가 어떻게 되는지 아세요? 제가 지난주 수업을 못가서요.,Do you know which part our test is going to cover? I come to class last week.
네. 이번 시험은 100페이지부터 250페이지까지입니다.,Yes. Our test will be from page 100 to page 250.
그렇군요. 감사합니다. 추가로 안내 받으신 사항 있으실까요?,"I see, thanks! Did you have any additional information?"
네. 시험 범위 외에 교수님께서 지난번에 주신 발표자료도 참고하라고 하셨습니다.,Yes. The professor also told us to look at the presentation materials that he gave us last week.
"역대 시험 난이도 분석중인데, 이번 시험 난이도는 어떻게 될것같습니까?",I'm currently analyzing the level of difficulties of our past exams. What do you think this exam will be like?
이번 시험은 작년 시험에 비해서 난이도가 하향 조정될 가능성이 높습니다.,This year's exam is going to be easier than last year's.
"아, 왜 그런건가요? 시험 난이도는 어떻게 책정이 되는것입니까?",Why is that? How is the level of difficulty decided?
작년 시험 난이도가 좀 높은 편이었어서 이번에는 하향 조정될 예정입니다.,"It is because last year's test was considered to be more difficult. So this year, it will be easier."
어제 교수님께서 이메일을 보내셨는데 시험 날짜가 연기 될 거라고 하셨습니다.,The professor sent us an e-mail yesterday saying our exam date will be postponed.
아마 지난 수업에서 저희 시험범위를 다 못 커버해서 그런것같아요.,It think it's because we couldn't cover everything in our last class.
"제 생각에도 그런것같아요. 시험 범위가 150페이지까지 였는데, 저희 아직 100페이지까지밖에 진도를 못나갔잖아요.",I think so too. The exam is supposed to cover up to page 150 but we've only learned up to page 100.
아 시험이 2주만 더 연기가 되었으면 소원이 없겠습니다.,I direly wish that the exam can be postpostned for 2 more weeks.
이번 시험에는 구술시험도 추가가 될 예정입니다. 이 점 참고 부탁드립니다.,Please note that an oral exam will be added to this exam.
"저희 지금까지 구술시험이 한번도 없었던 것같은데, 혹시 참고할만한 자료가 있을까요?",We've never had an oral exam before. Do you have any references?
안그래도 참고 자료들 오늘 오전에 모두에게 이메일로 보내드렸습니다.,I actually sent an e-mail to everyone about it this morning.
"네, 감사합니다. 혹시 추가로 질문 드릴것 있으면 이메일로 드리겠습니다.",Thank you. I will e-mail you if I have any further questions.
이번 시험 출제자가 해외에서 유학한 유학파라는 이야기를 들었습니다.,I heard this exam's writer studied in overseas.
그러면 시험 유형이 많이 바뀌었겠네요? 전 지난번 시험 유형만 공부를 했는데...,That means the test questions will be pretty different than before. I only referred and studied last year's exam questions.
그래도 예전 유형에서 그렇게 많이 벗어나진 않을거라고 했어요.,"However, I also heard that this year's exam would not be so different from last exams."
천만 다행이네요. 다른 시험도 준비를 해야해서 새로운 유형을 공부할 시간이 없거든요.,That's a relief. I don't have any time to study because I have to prepare for other exams as well.
드디어 시험이 끝났네요. 지난 2주동안 너무 고생 많으셨습니다. ,"Finally, the exam is over. Thanks for all your hard work for the past 2 weeks."
감사합니다. 시험 결과는 언제쯤 알수 있을까요?,Thanks. When can we find out our results?
시험 채점 기간이 앞으로 2주정도 소요될 예정입니다. 2주후에 게시판을 통해 결과가 전달될 예정입니다.,It will take about 2 weeks to grade the tests. Your test results will be posted on the bulletin board after 2 weeks.
그렇군요. 안내해주셔서 감사합니다. 좋은 결과가 있었으면 좋겠네요.,I see. Thanks for the information. Hope I get good results.
이번 시험은 듣기 파트가 있어서 각자 개개인의 이어폰을 준비하셔야 합니다.,Everyone has to prepare their own earphones because this exam includes listening part.
아무 종류의 이어폰이면 되나요? 아니면 특정한 종류가 있어야 하나요?,Can it be any kind of earphones? or do we have to prepare a specific kind?
시중에서 구매가능한 모든 종류의 이어폰이면 됩니다.,It can be any earphones. 
감사합니다. 준비해서 가져가도록 하겠습니다.,Thanks. I will prepare for it.
이번 시험에서는 컨닝을 굉장히 엄격하게 단속 할 예정이니 모든 수험생들은 참고 부탁드립니다.,"Attention, all test takers, cheating will strictly be monitored in this exam. "
들어보니까 작년에 거의 반 이상이 컨닝을 했다고 하네요. 그런데 따로 제재가 없어서 논란이 되었습니다.,"I heard in last year's exam, half of the test takers cheated. However, it became a scandal when the cheaters were not penalized."
"네, 저희도 그러한 부분을 인지하고 있는 상황이라 이번 시험에서는 조금 더 엄격하게 제재할 예정입니다.","Yes, we also are aware of that situation. So we are trying to be stricter for this exam."
감사합니다. 모든 수험생들이 공정한 분위기에서 시험을 칠 수 있을것같아 안심이 됩니다.,Thank you. I am relieved to hear that everyone will be taking the test under a fair environment.
이번 시험에서는 몇개까지 틀려야 A를 받을까요?,How many can I get wrong in order to still maintain A in this exam?
이번 시험은 상대평가에서 결과가 나와봐야 알수 있을것같습니다.,"Since this exam's result will be relative evlaution, we can find out once we have all the results."
"그렇군요. 이번에는 꼭 A를 받아야 하는데, 걱정이네요.",Okay. I am nervous because I really need an A.
"시험 난이도 하향 조정되긴 했는데, 상대평가라 저도 걱정이 되는 부분이에요.",The exam should be easier this time but I am worried also because it's relative evaluation.
보니까 이번 학기에는 따로 시험은 없고 3가지의 과제로만 평가가 된다고 하네요.,It looks like we don't have any exams but our grade will be based on 3 different projects.
"아, 진짜요? 시험이 없어서 좋긴 한데 또 과제로만 평가를 받는다고 하니 어떻게 해야할지 모르겠어요.","Oh, really? I am glad that there are no exams but I am not sure what to do since we are being graded on by projects."
